Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-025,Imperial County,2.55,44,-0.83,3.38
CA-027,Inyo County,5.25,49,-1,6.25
CA-029,Kern County,8.3,58,-0.76,9.06
CA-031,Kings County,6.19,38,-1.42,7.61
CA-033,Lake County,38.03,42,-5.41,43.44
CA-035,Lassen County,20.55,70,0.1,20.45
CA-037,Los Angeles County,14.31,64,-1.23,15.54
CA-039,Madera County,23.06,71,-0.05,23.11
CA-041,Marin County,31.67,47,-3.8,35.47
CA-043,Mariposa County,32.94,70,0.14,32.8
CA-045,Mendocino County,43.18,35,-8.46,51.64
CA-047,Merced County,10.6,57,-0.66,11.26
CA-049,Modoc County,18.46,73,0.35,18.11
CA-051,Mono County,16.21,71,0.55,15.66
CA-053,Monterey County,20.37,71,0.28,20.09
CA-055,Napa County,27.75,47,-3.32,31.07
CA-057,Nevada County,50.21,72,-0.15,50.36
CA-059,Orange County,12.16,63,-1.38,13.54
CA-061,Placer County,46.79,77,1.01,45.78
CA-063,Plumas County,40.94,67,-0.33,41.27
CA-065,Riverside County,6.56,43,-1.94,8.5
CA-067,Sacramento County,19.01,64,0.35,18.66
CA-069,San Benito County,15.95,61,-0.8,16.75
CA-071,San Bernardino County,5.86,56,-1.01,6.87
CA-073,San Diego County,10.06,36,-4.23,14.29
CA-075,San Francisco County,22.47,49,-1.8,24.27
CA-077,San Joaquin County,13.96,66,-0.08,14.04
CA-079,San Luis Obispo County,17.51,73,0.37,17.14
CA-081,San Mateo County,23.03,37,-5.61,28.64
CA-083,Santa Barbara County,17.49,63,-1.28,18.77
CA-085,Santa Clara County,21.81,55,-1.31,23.12
CA-087,Santa Cruz County,30.12,46,-2.92,33.04
CA-089,Shasta County,37.57,41,-4.35,41.92
CA-091,Sierra County,45.12,69,-0.68,45.8
CA-093,Siskiyou County,28.28,15,-10.59,38.87
CA-095,Solano County,19.3,61,-0.46,19.76
CA-097,Sonoma County,37.77,46,-4.26,42.03
CA-099,Stanislaus County,13.57,67,-0.06,13.63
CA-101,Sutter County,18.45,55,-0.5,18.95
CA-103,Tehama County,34.66,54,-1.86,36.52
CA-105,Trinity County,43.51,25,-14.01,57.52
CA-107,Tulare County,18.98,47,-2.86,21.84
CA-109,Tuolumne County,41.03,69,0.17,40.86
CA-111,Ventura County,19.54,67,-0.81,20.35
CA-113,Yolo County,19.92,61,-0.06,19.98
CA-115,Yuba County,36.33,62,-1.35,37.68
CO-001,Adams County,12.71,26,-2.45,15.16
CO-003,Alamosa County,8.47,30,-1.91,10.38
CO-005,Arapahoe County,13.38,32,-2.52,15.9
CO-007,Archuleta County,16.53,9,-6.82,23.35
CO-009,Baca County,19.21,103,3.24,15.97
CO-011,Bent County,13.86,67,-0.04,13.9
CO-013,Boulder County,17.97,39,-2.12,20.09
CO-014,Broomfield County,13.01,40,-1.73,14.74
CO-015,Chaffee County,12.47,6,-5.12,17.59
CO-017,Cheyenne County,14.39,52,-1,15.39
CO-019,Clear Creek County,21.92,19,-4.1,26.02
CO-021,Conejos County,14.23,26,-2.99,17.22
CO-023,Costilla County,12.95,10,-4.66,17.61
CO-025,Crowley County,10.66,44,-1.35,12.01
CO-027,Custer County,14.47,10,-6.02,20.49
CO-029,Delta County,14,21,-3.64,17.64
CO-031,Denver County,12.11,24,-2.9,15.01
