Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
KY-051,Clay County,46.5,124,2.9,43.6
KY-053,Clinton County,49.1,125,4.9,44.2
KY-055,Crittenden County,47.8,111,1.7,46.1
KY-057,Cumberland County,48.9,125,4.3,44.6
KY-059,Daviess County,46.8,108,1.6,45.2
KY-061,Edmonson County,47,117,2.3,44.7
KY-063,Elliott County,44.6,123,2.7,41.9
KY-065,Estill County,46.8,123,2.6,44.2
KY-067,Fayette County,46.6,124,3.4,43.2
KY-069,Fleming County,44.7,119,2.4,42.3
KY-071,Floyd County,46.4,121,2.5,43.9
KY-073,Franklin County,46.9,124,3.5,43.4
KY-075,Fulton County,49.2,112,1.7,47.5
KY-077,Gallatin County,47.2,124,3.9,43.3
KY-079,Garrard County,46.8,121,2.7,44.1
KY-081,Grant County,46.6,124,3.6,43
KY-083,Graves County,48.9,117,2,46.9
KY-085,Grayson County,46.1,116,2.2,43.9
KY-087,Green County,47.4,123,3.1,44.3
KY-089,Greenup County,45.1,124,3.5,41.6
KY-091,Hancock County,45.9,100,1.1,44.8
KY-093,Hardin County,46.1,116,2.2,43.9
KY-095,Harlan County,45.1,121,2.2,42.9
KY-097,Harrison County,46,124,3.2,42.8
KY-099,Hart County,46.5,116,2.2,44.3
KY-101,Henderson County,47.4,103,1.4,46
KY-103,Henry County,46.8,124,3.6,43.2
KY-105,Hickman County,48.9,111,1.8,47.1
KY-107,Hopkins County,48.3,113,1.9,46.4
KY-109,Jackson County,46.4,123,2.9,43.5
KY-111,Jefferson County,47.5,121,3.1,44.4
KY-113,Jessamine County,46.8,122,3.1,43.7
KY-115,Johnson County,45.6,124,2.8,42.8
KY-117,Kenton County,46.3,122,3.3,43
KY-119,Knott County,45.8,120,2.3,43.5
KY-121,Knox County,46.7,124,3.1,43.6
KY-123,Larue County,46.3,115,2.2,44.1
KY-125,Laurel County,47,125,3.4,43.6
KY-127,Lawrence County,45.4,124,3,42.4
KY-129,Lee County,46.4,120,2.2,44.2
KY-131,Leslie County,46.1,123,2.5,43.6
KY-133,Letcher County,45.4,123,2.3,43.1
KY-135,Lewis County,44.3,121,2.7,41.6
KY-137,Lincoln County,46.6,124,3,43.6
KY-139,Livingston County,48.4,114,2.1,46.3
KY-141,Logan County,48.1,115,2.2,45.9
KY-143,Lyon County,48.5,112,1.9,46.6
KY-145,McCracken County,48.7,114,2.1,46.6
KY-147,McCreary County,47.5,125,3.9,43.6
KY-149,McLean County,47.5,104,1.6,45.9
KY-151,Madison County,47,123,2.9,44.1
KY-153,Magoffin County,45.6,120,2.4,43.2
KY-155,Marion County,46.5,120,2.5,44
KY-157,Marshall County,49,114,2,47
KY-159,Martin County,45.9,121,2.3,43.6
KY-161,Mason County,44.4,119,2.6,41.8
KY-163,Meade County,45.7,113,1.9,43.8
KY-165,Menifee County,45.2,117,2.2,43
KY-167,Mercer County,46.4,119,2.6,43.8
KY-169,Metcalfe County,46.8,122,2.9,43.9
KY-171,Monroe County,47.1,120,2.7,44.4
KY-173,Montgomery County,45.6,122,2.9,42.7
KY-175,Morgan County,45,120,2.3,42.7
KY-177,Muhlenberg County,47.2,93,1.1,46.1
KY-179,Nelson County,46.6,118,2.4,44.2
KY-181,Nicholas County,45.3,122,2.9,42.4
KY-183,Ohio County,46.4,102,1.3,45.1
KY-185,Oldham County,46.8,124,3.4,43.4
KY-187,Owen County,47,124,3.7,43.3
