Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
OH-001,Adams County,66.7,121,2.5,64.2
OH-003,Allen County,61.3,94,1.4,59.9
OH-005,Ashland County,61.3,115,2.1,59.2
OH-007,Ashtabula County,59.7,116,2.7,57
OH-009,Athens County,65.5,114,2.1,63.4
OH-011,Auglaize County,61.3,92,1.3,60
OH-013,Belmont County,63.2,107,1.6,61.6
OH-015,Brown County,66.1,122,2.5,63.6
OH-017,Butler County,65,115,2.3,62.7
OH-019,Carroll County,62.2,118,2.3,59.9
OH-021,Champaign County,61.9,104,1.5,60.4
OH-023,Clark County,62.9,110,1.9,61
OH-025,Clermont County,66.1,120,2.6,63.5
OH-027,Clinton County,64.2,119,2.5,61.7
OH-029,Columbiana County,61.3,111,2,59.3
OH-031,Coshocton County,62.8,108,1.6,61.2
OH-033,Crawford County,61.5,112,2.1,59.4
OH-035,Cuyahoga County,61,123,3.3,57.7
OH-037,Darke County,62.3,108,1.7,60.6
OH-039,Defiance County,59.9,83,0.6,59.3
OH-041,Delaware County,63.3,107,1.9,61.4
OH-043,Erie County,60.3,108,1.7,58.6
OH-045,Fairfield County,64.1,109,1.8,62.3
OH-047,Fayette County,64.1,118,2.4,61.7
OH-049,Franklin County,64.4,111,2.1,62.3
OH-051,Fulton County,60.2,98,1.6,58.6
OH-053,Gallia County,66.9,111,2,64.9
OH-055,Geauga County,59.8,120,3.1,56.7
OH-057,Greene County,63.6,112,2.1,61.5
OH-059,Guernsey County,63.6,107,1.5,62.1
OH-061,Hamilton County,66.1,122,2.6,63.5
OH-063,Hancock County,61.8,113,2,59.8
OH-065,Hardin County,62,114,2.2,59.8
OH-067,Harrison County,62.8,111,2,60.8
OH-069,Henry County,60.9,98,1.4,59.5
OH-071,Highland County,65.2,122,2.8,62.4
OH-073,Hocking County,64.2,106,1.6,62.6
OH-075,Holmes County,61.8,108,1.7,60.1
OH-077,Huron County,60.8,107,1.6,59.2
OH-079,Jackson County,65.9,111,1.9,64
OH-081,Jefferson County,62.5,110,1.7,60.8
OH-083,Knox County,61.8,103,1.5,60.3
OH-085,Lake County,60.2,121,3.2,57
OH-087,Lawrence County,67.8,122,2.7,65.1
OH-089,Licking County,63.2,110,1.8,61.4
OH-091,Logan County,61.4,107,1.6,59.8
OH-093,Lorain County,61,114,2.2,58.8
OH-095,Lucas County,61.5,115,2.4,59.1
OH-097,Madison County,63.4,110,1.9,61.5
OH-099,Mahoning County,61.3,114,2.7,58.6
OH-101,Marion County,62.5,113,2,60.5
OH-103,Medina County,61.5,120,3,58.5
OH-105,Meigs County,66.6,120,2.3,64.3
OH-107,Mercer County,61.2,91,1.2,60
OH-109,Miami County,63.4,113,2.2,61.2
OH-111,Monroe County,64.1,102,1.3,62.8
OH-113,Montgomery County,64.2,115,2.4,61.8
OH-115,Morgan County,64.9,111,1.8,63.1
OH-117,Morrow County,61.5,108,1.7,59.8
OH-119,Muskingum County,64.1,111,1.9,62.2
OH-121,Noble County,64.5,108,1.7,62.8
OH-123,Ottawa County,60.5,107,1.6,58.9
OH-125,Paulding County,60.3,83,0.7,59.6
OH-127,Perry County,63.9,106,1.6,62.3
OH-129,Pickaway County,65.3,117,2.3,63
OH-131,Pike County,65.9,117,2.5,63.4
OH-133,Portage County,61.5,124,3.8,57.7
OH-135,Preble County,63,109,1.9,61.1
OH-137,Putnam County,61.2,96,1.4,59.8
OH-139,Richland County,61.2,115,2.2,59
OH-141,Ross County,65.5,118,2.5,63
OH-143,Sandusky County,60.7,98,1.3,59.4
OH-145,Scioto County,67,117,2.4,64.6
OH-147,Seneca County,61,105,1.5,59.5
OH-149,Shelby County,61.7,97,1.3,60.4
OH-151,Stark County,62.6,123,3.6,59
OH-153,Summit County,62.4,124,4,58.4
OH-155,Trumbull County,61.1,118,3,58.1
OH-157,Tuscarawas County,62.8,113,2,60.8
OH-159,Union County,62.7,111,1.9,60.8
OH-161,Van Wert County,60.5,86,0.7,59.8
OH-163,Vinton County,65.1,109,1.7,63.4
OH-165,Warren County,64.9,115,2.4,62.5
OH-167,Washington County,66.1,120,2.4,63.7
OH-169,Wayne County,61.7,117,2.3,59.4
OH-171,Williams County,58.9,78,0.4,58.5
OH-173,Wood County,61.4,106,1.7,59.7
OH-175,Wyandot County,62.2,114,2.2,60
OK-001,Adair County,69.9,68,0.1,69.8
OK-003,Alfalfa County,70.4,50,-0.3,70.7
OK-005,Atoka County,73.5,59,-0.1,73.6
OK-007,Beaver County,70.4,58,0.2,70.2
OK-009,Beckham County,73,82,0.8,72.2
OK-011,Blaine County,71.5,73,0.3,71.2
OK-013,Bryan County,73.9,65,-0.1,74
OK-015,Caddo County,72.2,74,0.6,71.6
OK-017,Canadian County,71.9,84,0.6,71.3
OK-019,Carter County,73.1,21,-1.2,74.3
OK-021,Cherokee County,70.3,57,-0.3,70.6
OK-023,Choctaw County,74.1,74,0.1,74
OK-025,Cimarron County,69.4,58,0.1,69.3
OK-027,Cleveland County,72.5,79,0.4,72.1
OK-029,Coal County,73.7,70,0,73.7
OK-031,Comanche County,73.3,61,-0.1,73.4
OK-033,Cotton County,75,70,0,75
OK-035,Craig County,68.8,43,-0.8,69.6
OK-037,Creek County,71.5,76,0.1,71.4
OK-039,Custer County,71.6,71,0.3,71.3
OK-041,Delaware County,69,44,-0.6,69.6
OK-043,Dewey County,70.6,58,0,70.6
OK-045,Ellis County,70.9,77,0.5,70.4
OK-047,Garfield County,70.6,57,-0.2,70.8
OK-049,Garvin County,73.2,48,-0.5,73.7
OK-051,Grady County,73,85,0.9,72.1
OK-053,Grant County,70,50,-0.4,70.4
OK-055,Greer County,73.7,70,0.4,73.3
OK-057,Harmon County,74.9,78,0.6,74.3
